No.,HM,Bravais_lattice,Sub_groups,order
1,1,Triclinic,,1
2,-1,Triclinic,1,2
3,2,Monoclinic,1,2
4,m,Monoclinic,1,2
5,2/m,Monoclinic,2:3:4,4
6,222,Orthorhombic,3,4
7,mm2,Orthorhombic,3:4,4
8,mmm,Orthorhombic,5:6:7,8
9,4,Tetragonal,3,4
10,-4,Tetragonal,3,4
11,4/m,Tetragonal,5:9:10,8
12,422,Tetragonal,6:9,8
13,4mm,Tetragonal,7:9,8
14,-42m,Tetragonal,6:7:10,8
15,4/mmm,Tetragonal,8:11:12:13:14,16
16,3,Trigonal,1,3
17,-3,Trigonal,2:16,6
18,32,Trigonal,3:16,6
19,3m,Trigonal,4:16,6
20,-3m,Trigonal,5:17:18:19,12
21,6,Hexagonal,3:16,6
22,-6,Hexagonal,4:16,6
23,6/m,Hexagonal,5:17:21:22,12
24,622,Hexagonal,6:18:21,12
25,6mm,Hexagonal,5:17:21,12
26,-6m2,Hexagonal,7:18:19:22,12
27,6/mmm,Hexagonal,8:20:23:24:25:26,24
28,23,Cubic,6:16,12
29,m-3,Cubic,8:17:28,24
30,432,Cubic,12:18:28,24
31,-43m,Cubic,14:19:28,24
32,m-3m,Cubic,15:20:29:30:31,48
