ITA No,Point Group No,HM Symbol,Maximal SubGroups [index]
1,1,P 1,001[2];001[3];001[5];001[7]
2,2,P -1,001[2];002[2];002[3];002[5];002[7]
3,3,P 2,001[2];003[2];003[3];003[5];003[7];004[2];005[2]
4,3,P 2_1,001[2];004[2];004[3];004[5];004[7]
5,3,C 2,001[2];003[2];004[2];005[2];005[3];005[5];005[7]
6,4,P m,001[2];006[2];006[3];006[5];006[7];007[2];008[2]
7,4,P c,001[2];007[2];007[3];007[5];007[7];009[2]
8,4,C m,001[2];006[2];007[2];008[2];008[3];008[5];008[7];009[2]
9,4,C c,001[2];007[2];009[3];009[5];009[7]
10,5,P 2/m,002[2];003[2];006[2];010[2];010[3];010[5];010[7];011[2];012[2];013[2]
11,5,P 2_1/m,002[2];004[2];006[2];011[2];011[3];011[5];011[7];014[2]
12,5,C 2/m,002[2];005[2];008[2];010[2];011[2];012[2];012[3];012[5];012[7];013[2];014[2];015[2]
13,5,P 2/c,002[2];003[2];007[2];013[2];013[3];013[5];013[7];014[2];015[2]
14,5,P 2_1/c,002[2];004[2];007[2];014[2];014[3];014[5];014[7]
15,5,C 2/c,002[2];005[2];009[2];013[2];014[2];015[3];015[5];015[7]
16,6,P 2 2 2,003[2];016[2];016[3];016[5];016[7];017[2];021[2];022[2]
17,6,P 2 2 2_1,003[2];004[2];017[2];017[3];017[5];017[7];018[2];020[2]
18,6,P 2_1 2_1 2,003[2];004[2];018[2];018[3];018[5];018[7];019[2]
19,6,P 2_1 2_1 2_1,004[2];019[3];019[5];019[7]
20,6,C 2 2 2_1,004[2];005[2];017[2];018[2];019[2];020[3];020[5];020[7]
21,6,C 2 2 2,003[2];005[2];016[2];017[2];018[2];020[2];021[2];021[3];021[5];021[7];023[2];024[2]
22,6,F 2 2 2,005[2];020[2];021[2];022[3];022[5];022[7]
23,6,I 2 2 2,005[2];016[2];018[2];023[3];023[5];023[7]
24,6,I 2_1 2_1 2_1,005[2];017[2];019[2];024[3];024[5];024[7]
25,7,P m m 2,003[2];006[2];025[2];025[3];025[5];025[7];026[2];027[2];028[2];035[2];038[2];039[2];042[2]
26,7,P m c 2_1,004[2];006[2];007[2];026[2];026[3];026[5];026[7];029[2];031[2];036[2]
27,7,P c c 2,003[2];007[2];027[2];027[3];027[5];027[7];030[2];037[2]
28,7,P m a 2,003[2];006[2];007[2];028[2];028[3];028[5];028[7];029[2];030[2];031[2];032[2];040[2];041[2]
29,7,P c a 2_1,004[2];007[2];029[2];029[3];029[5];029[7];033[2]
30,7,P n c 2,003[2];007[2];030[2];030[3];030[5];030[7];034[2]
31,7,P m n 2_1,004[2];006[2];007[2];031[2];031[3];031[5];031[7];033[2]
32,7,P b a 2,003[2];007[2];032[2];032[3];032[5];032[7];033[2];034[2]
33,7,P n a 2_1,004[2];007[2];033[3];033[5];033[7]
34,7,P n n 2,003[2];007[2];034[3];034[5];034[7];043[2]
35,7,C m m 2,003[2];008[2];025[2];028[2];032[2];035[2];035[3];035[5];035[7];036[2];037[2];044[2];045[2];046[2]
36,7,C m c 2_1,004[2];008[2];009[2];026[2];029[2];031[2];033[2];036[3];036[5];036[7]
37,7,C c c 2,003[2];009[2];027[2];030[2];034[2];037[3];037[5];037[7]
